product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,display_category_id,soldout,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
JNSW5B205V2,바이올렛 투톤 스트라이프 배색 카라 니트,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,340000,203490,40,0,0,0,0.0,20110219,False,46,0,0,13,"S (95):3, M (100):4, L (105):3, XL (110):3",32,"바이올렛:13, 노랑:19",남성의류,니트/스웨터,
JNPA5B211G3,다크그레이 서머 치노 팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,350000,209470,40,0,0,1,5.0,110219,False,598,0,0,10,"78 (30):1, 82 (32):6, 86 (34):0, 90 (36):0, 94 (38):3",93,"진한 블루:17, 진한 그레이:10, 밝은 베이지:7, 아이보리:15, 카키:23, 흰색:21",남성의류,팬츠,롱팬츠
JNPA5A202WT,화이트 워시드코튼 패러슈트 팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],봄,1,0,0,0,0,390000,216740,44,0,0,0,0.0,110219,False,14,0,0,22,"78 (30):7, 82 (32):7, 86 (34):2, 90 (36):3, 94 (38):3",46,"카키:24, 흰색:22",남성의류,팬츠,롱팬츠
JNSW5D210CG,[THE TWILL] 트윌 위브 텍스처 카라 니트 - 차콜그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,390000,245700,37,0,0,6,5.0,20110219,False,98,0,0,63,"S (95):9, M (100):24, L (105):21, XL (110):9",95,"차콜 그레이:63, 브라운:32",남성의류,니트/스웨터,
JNJU5D210G3,부클 후드 점퍼 - 다크그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,890000,532660,40,0,0,2,5.0,20110219,False,27,0,0,17,"S (95):4, M (100):3, L (105):6, XL (110):4",17,진한 그레이:17,남성의류,점퍼,캐쥬얼점퍼
JNTS6B385G1,[360 Care] 쿨링 서커 셋업  티셔츠 - 라이트그레이,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,290000,261000,10,0,0,0,0.0,121281,False,0,0,0,25,"S (95):5, M (100):9, L (105):7, XL (110):4",51,"블랙:26, 밝은 그레이:25",남성의류,티셔츠,반팔티셔츠
JNSW6B507BK,코튼 강연 크루넥 가디건 - 블랙,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,390000,351000,10,0,0,0,0.0,110219,False,0,0,0,19,"S (95):3, M (100):5, L (105):6, XL (110):5",50,"블루:17, 블랙:19, 브라운:14",남성의류,가디건,기본가디건
0JJA5C080BK,[SET] [SOFT PLEATS] 블랙 릴랙스드 셋업,질스튜어트 뉴욕 세트,0J,1017,2,[25FW],,0,0,0,0,0,880000,554400,37,0,0,5,5.0,110219,False,155,0,0,0,,15,블랙:15,남성의류,자켓,숏/하프자켓
JNSH5A203V2,가먼트다잉 오픈카라 셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],봄,1,0,0,0,0,390000,216740,44,0,0,1,5.0,20110219,False,19,0,0,16,"S (95):3, M (100):7, L (105):4, XL (110):2",49,"바이올렛:16, 흰색:33",남성의류,셔츠,긴팔캐쥬얼셔츠
JNJA6B407N3,울 멜란지 텍스쳐 자켓 - 다크네이비,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,740000,666000,10,0,0,0,0.0,110219,False,19,0,0,9,"S (95):3, M (100):1, L (105):1, XL (110):4",20,"블루:11, 진한 네이비:9",남성의류,자켓,숏/하프자켓
JNSW6A104BK,[ITALY YARN][THE TWILL] 실크 블렌드 카라 니트 - 블랙,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],"봄, 가을",1,0,1,0,0,440000,396000,10,0,0,0,0.0,121346,False,36,0,0,9,"S (95):2, M (100):5, L (105):0, XL (110):2",12,"블랙:9, 그레이:3",남성의류,니트/스웨터,
JNSW5D207IV,캐시미어 100 터틀넥 니트 - 아이보리,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,490000,308700,37,0,0,4,5.0,20110219,False,289,0,0,30,"S (95):5, M (100):12, L (105):7, XL (110):6",153,"블랙:36, 그레이:34, 아이보리:30, 브라운:53",남성의류,니트/스웨터,
JNPA5C203N3,[MARZOTTO] [TAPERED-FIT] 울 블렌드 스트링 팬츠 - 다크네이비,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],"가을, 겨울",0,0,1,1,0,390000,245700,37,0,0,0,0.0,20110219,False,19,0,0,28,"78 (30):5, 82 (32):7, 86 (34):5, 90 (36):6, 94 (38):5",67,"밝은 그레이:39, 진한 네이비:28",남성의류,팬츠,슬랙스
JNPA5B358BK,블랙 린넨 블렌드 숏팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,290000,173560,40,0,0,0,0.0,110219,False,22,0,0,17,"78 (30):4, 82 (32):4, 86 (34):3, 90 (36):3, 94 (38):3",28,"블랙:17, 베이지:11",남성의류,팬츠,하프팬츠(5부~7부)
JNPA5B357S3,세피아 릴랙스드 핏 치노 팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,370000,221440,40,0,0,3,4.3,110219,False,110,0,0,12,"78 (30):3, 82 (32):3, 86 (34):2, 90 (36):2, 94 (38):2",20,"베이지:8, 진한 세피아:12",남성의류,팬츠,롱팬츠
JNTS5B204B1,라이트블루 단색 면 반팔 티셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,150000,94500,37,0,0,5,4.6,20110219,False,252,0,0,28,"S (95):6, M (100):8, L (105):8, XL (110):6",123,"밝은 블루:28, 차콜 그레이:25, 카키:30, 밝은 핑크:32, 흰색:8",남성의류,티셔츠,반팔티셔츠
JNJA5B301G3,다크그레이 미니 하운드투스 강연 서머 자켓,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,740000,442890,40,0,0,1,5.0,110219,False,273,0,0,24,"S (95):2, M (100):5, L (105):11, XL (110):6",55,"그레이:8, 진한 그레이:24, 진한 네이비:23",남성의류,자켓,숏/하프자켓
