color_code,product_code,product_name,brand_name,source_file
I1,DMSW5D305I1,라이트베이지 울100% 조직감 터틀넥 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I1,DMSW6B071I1,[OBS] 라이트베이지 실크코튼 이태리 원사 반팔 카라 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I1,DMTS5BC12I1,라이트베이지 마이크로패턴 반팔 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I1,DMTS5BT70I1,[IMPORTED FABRIC] 린넨 혼방 라이트베이지 반팔 카라티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I1,HZJA4D531I1,[클리어런스][TECH DOWN] 베이지 퀼팅 화섬 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJA6B330I1,아이보리 코튼혼방 여름 셋업 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJA6B402I1,[TORAY Series]아이보리 경량 셋업 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU4B301I1,[반값세일]라이트베이지 컴포트 블루종,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU4D503I1,[클리어런스]베이지 핸드메이드 집업 점퍼,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU5B403I1,[클래식] 라이트베이지 컴포트 스윙탑,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU5B511I1,[Ultralight] 베이지 썸머 초경량 스트레치 블루종,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU5C514I1,[Ultralight] 라이트베이지 썸머 초경량 트러커,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU5D471I1,[TECH DOWN] 라이트베이지 화섬 다운 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU5D691I1,[HAZZYS X BASTONG] 라이트베이지 코듀로이 빈티지 스포츠 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU6A100I1,베이지 메이페어 폭스 스웨이드 하이브리드 점퍼,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU6A106I1,베이지 경량 핸드메이드 울 셔켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU6A208I1,베이지 면혼방 윈드브레이커,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU6B401I1,[클래식] 베이지 헤지로우 워크자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU6B406I1,[TORAY Series][PREMIUM] 아이보리 기능성 트러커 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZJU6B504I1,[ULTRALIGHT] 아이보리 초경량 서커 트러커 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZLG5F101I1,[시즌오프][아이코닉] 아이보리 해리와펜 펫 카라티,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZMU5F101I1,베이지 멜란지 캐시미어 머플러,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA4C361I1,[클리어런스][STRAIGHT]베이지 솔리드 슬랙스,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA4D501I1,[클리어런스][STRAIGHT] 아이보리 가먼트 다잉 기모 팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA5A372I1,[STRAIGHT] 베이지 봄 치노 팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA5B504I1,[CAMPUS] 라이트 베이지 린넨 캠퍼스 숏 팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA5C372I1,[시즌오프][아이코닉][STRAIGHT] 라이트베이지 가먼트워싱 트윌 치노팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA5D404I1,베이지 코듀로이 면혼방 밴딩팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA5F232I1,[FOLGAROLAS][STRAIGHT] 베이지 투톤 조직감 팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA6B330I1,[STRAIGHT] 아이보리 코튼 강연 팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA6B332I1,[TAPERED] 아이보리 여름 치노 팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA6B365I1,[STRAIGHT] 아이보리 경량 코튼 나일론 치노,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZPA6B402I1,[TORAY Series][STRAIGHT] 아이보리 경량 셋업 팬츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSH3D501I1,[클리어런스]베이지 기모 잔체크 셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSH4D952I1,[클리어런스]베이지 버튼다운 면 긴팔캐주얼셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSH4F201I1,[클리어런스]아이보리 선염 옥스포드 셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSH5B301I1,베이지 린넨 셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSH5C108I1,라이트 베이지 폭스 스웨이드 셔켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW4B561I1,[반값세일]베이지 면혼방 오픈 카라 니트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW4D326I1,[클리어런스]베이지 울 하프 집업 케이블 니트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW4D327I1,[클리어런스]베이지 울 케이블 집업,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW4D464I1,[클리어런스][PREMIUM CASHMERE] 베이지 캐시미어 100% 하프 터틀 니트,헤지스 남성,hazzys_men_products_enriched_all.csv
