product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3,display_category_id,soldout,source_file,category_code,color_code
JNJU5C208K3,[OLMETEX] 후드 디테쳐블 봄버 자켓 - 다크카키,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,990000,623700,37,0,0,0,0.0,28,0,0,20,"S (95):5, M (100):6, L (105):4, XL (110):5",39,"코랄:19, 진한 카키:20",남성의류,점퍼,캐쥬얼점퍼,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,K3
JNSW5D222G3,울 펠트 셋업 가디건 - 다크그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,590000,371700,37,0,0,2,5.0,77,0,0,32,"S (95):8, M (100):7, L (105):14, XL (110):3",67,"진한 그레이:32, 진한 베이지:35",남성의류,가디건,기본가디건,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,SW,G3
JNPA5B220G1,라이트그레이 서머 컴포트 베이직 팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,350000,209470,40,0,0,1,5.0,221,0,0,7,"78 (30):1, 82 (32):3, 86 (34):1, 90 (36):0, 94 (38):2",12,"밝은 그레이:7, 베이지:5",남성의류,팬츠,롱팬츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,G1
JNJU4C104W3,[클리어런스]다크브라운 울 혼방 트위드 배색 가디건,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,590000,222220,62,0,0,7,5.0,70,0,0,12,"S (95):4, M (100):2, L (105):1, XL (110):5",17,"밝은 베이지:5, 진한 브라운:12",남성의류,가디건,기본가디건,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,W3
WYJA4D501G3,[클리어런스][스테디셀러] 그레이 멜란지 울 자켓,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],겨울,0,0,0,1,0,790000,297550,62,0,0,1,5.0,327,0,0,15,"046 (090):6, 048 (095):5, 050 (100):4, 052 (105):0, 054 (110):0",39,"블랙:19, 진한 그레이:15, 진한 네이비:5",남성의류,자켓,숏/하프자켓,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JA,G3
JNJU4D602BK,[클리어런스][LORO PIANA 원단] 블랙 구스다운 트렌치 코트,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],겨울,0,0,0,1,0,1490000,573450,61,0,0,5,4.6,128,0,0,3,"S (95):3, M (100):0, L (105):0, XL (110):0",16,"블랙:3, 진한 브라운:13",남성의류,점퍼,다운점퍼,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,BK
JNSW6B304W2,실키 크루넥 니트 - 브라운,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],"여름, 가을",0,1,1,0,0,290000,261000,10,0,0,0,0.0,70,0,0,4,"S (95):1, M (100):0, L (105):1, XL (110):2",78,"블랙:21, 밝은 그레이:5, 진한 그레이:8, 아이보리:40, 브라운:4",남성의류,니트/스웨터,,121346.0,False,jillstuartnewyork_men_products_enriched_all.csv,SW,W2
WYJU5B011BK,[스테디셀러] 블랙 포켓 점퍼,질 스튜어트 뉴욕 남성,WY,1017,2,[25SS],"봄, 여름, 가을",1,1,1,0,0,590000,371700,37,0,0,0,0.0,0,0,0,17,"95:3, 100:8, 105:3, 110:3",17,블랙:17,남성의류,점퍼,캐쥬얼점퍼,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,BK
JNJA4D503T3,[클리어런스][E.ZEGNA 원단] 투톤 터콰이즈블루 시그니처 수트 자켓,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],겨울,0,0,0,1,0,990000,372880,62,0,0,2,5.0,103,0,0,4,"46 (90):1, 48 (95):0, 50 (100):0, 52 (105):2, 54 (110):1",9,"진한 블루:2, 그레이:3, 진한 청록:4, 브라운:0",남성의류,자켓,숏/하프자켓,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JA,T3
JNJU5D503I2,스웨이드 무스탕 트러커 - 베이지,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,2990000,1883700,37,0,0,1,5.0,29,0,0,33,"L (105):11, M (100):12, XL (110):7, S (95):3",33,베이지:33,남성의류,점퍼,무스탕,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,I2
JNJU5D315BK,구스다운 후드 점퍼 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,1290000,812700,37,0,0,2,5.0,68,0,0,48,"S (95):9, M (100):21, L (105):14, XL (110):4",48,블랙:48,남성의류,점퍼,다운점퍼,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,BK
JNPA4D104BK,[클리어런스]블랙 마이크로 코듀로이 컴포트 팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],겨울,0,0,0,1,0,350000,131830,62,0,0,13,4.8,150,0,0,3,"78 (30):1, 82 (32):0, 86 (34):0, 90 (36):0, 94 (38):2",22,"블랙:3, 밝은 세피아:19",남성의류,팬츠,롱팬츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,BK
JNJU6A301B2,데님 트러커 자켓 - 블루,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],봄,1,0,0,0,0,590000,531000,10,0,0,0,0.0,12,0,0,16,"S (95):4, M (100):5, L (105):3, XL (110):4",16,블루:16,남성의류,자켓,숏/하프자켓,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,B2
JNJU4C104I1,[클리어런스]라이트베이지 울 혼방 트위드 배색 가디건,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,590000,222220,62,0,0,7,5.0,70,0,0,5,"S (95):1, M (100):3, L (105):1, XL (110):0",17,"밝은 베이지:5, 진한 브라운:12",남성의류,가디건,기본가디건,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,I1
JNSW4D004E3,[클리어런스]다크그린 울  사선리브 크루넥 니트,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],겨울,0,0,0,1,0,370000,139360,62,0,0,16,4.7,132,0,0,4,"S (95):3, M (100):1, L (105):0, XL (110):0",15,"진한 초록:4, 밝은 그레이:9, 진한 네이비:2",남성의류,니트/스웨터,,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,SW,E3
JNSW6B403IV,[TRAVELLER] 크루넥 니트 - 아이보리,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,320000,288000,10,0,0,0,0.0,17,0,0,10,"S (95):1, M (100):0, L (105):5, XL (110):4",22,"블랙:12, 아이보리:10",남성의류,니트/스웨터,,121346.0,False,jillstuartnewyork_men_products_enriched_all.csv,SW,IV
JNTS5C802G2,[NEWYORK SWEAT] UrbanShell 후드티 - 그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,270000,170100,37,0,0,9,5.0,190,0,0,12,"S (95):1, M (100):4, L (105):3, XL (110):4",63,"블랙:33, 차콜 그레이:18, 그레이:12",남성의류,티셔츠,긴팔티셔츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,TS,G2
JNSW5D301BK,디테쳐블 후드 크루넥 니트 집업 가디건 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,590000,371700,37,0,0,4,5.0,97,0,0,80,"S (95):10, M (100):41, L (105):17, XL (110):12",110,"블랙:80, 베이지:30",남성의류,가디건,기본가디건,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,SW,BK
JNPA4C001T3,[클리어런스][RIOPELE] 터콰이즈블루 컴포트 슬랙스,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,350000,131830,62,0,0,6,4.7,255,0,0,8,"78 (30):2, 82 (32):0, 86 (34):0, 90 (36):2, 94 (38):4",39,"블랙:14, 밝은 그레이:1, 아이보리:16, 진한 청록:8",남성의류,팬츠,슬랙스,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,T3
