product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
TNPA6E103CG,Classic Wool Suit Pants (Charcoal Grey),티엔지티,B000,1004,1,[26SS],사계절,1,1,1,1,1,129000,98680,23,0,0,0,0.0,210,0,15,208,"078 (30):32, 082 (32):60, 086 (34):82, 090 (36):34",404,"블랙:196, 차콜 그레이:208",남성의류,정장하의,
TNPA6E209N2,Yoyogi Pleats Shorts (Navy),요요기 플리츠 바이 티엔지티,B01O,1004,1,[26SS],"봄, 여름",1,1,0,0,0,79000,75050,5,0,0,0,0.0,11,11,1,189,"00S:34, 00M:67, 00L:70, 0XL:18",660,"블랙:284, 베이지:187, 네이비:189",남성의류,팬츠,하프팬츠(5부~7부)
TNTS5F103N2,Embroidery Logo Polo Sweat (Navy),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,79000,49770,37,0,0,33,4.7,710,0,44,77,"95:17, 100:27, 105:26, 110:7",202,"블랙:123, 그레이:2, 네이비:77",남성의류,티셔츠,긴팔티셔츠
TNSW5F109G2,Ribbed Oversized Henley-neck Knit (Grey),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,109000,68670,37,0,0,40,4.8,1,0,155,6,"95:3, 100:0, 105:3, 110:0",446,"블랙:439, 와인:1, 그레이:6",남성의류,니트/스웨터,
TNPA5E205G2,Denim Bermuda Pants (Washed Gray),티엔지티,B000,1004,2,,"봄, 여름",1,1,0,0,0,75000,47250,37,0,0,13,4.8,206,0,3,118,"078 (30):22, 082 (32):38, 086 (34):37, 090 (36):21",257,"블루:139, 그레이:118",남성의류,팬츠,하프팬츠(5부~7부)
TNSH5E103G2,Denim Western Shirt (Washed Gray),티엔지티,B000,1004,2,,봄,1,0,0,0,0,99000,62370,37,0,0,30,4.4,430,10,35,9,"95:9, 100:0, 105:0, 110:0",21,"블루:12, 그레이:9",남성의류,셔츠,긴팔캐쥬얼셔츠
TNTS5E209BK,Embroidery Logo T-Shirt (Black),티엔지티,B000,1004,2,,여름,0,1,0,0,0,59000,37170,37,0,0,7,4.3,130,0,10,133,"95:32, 100:48, 105:37, 110:16",264,"블랙:133, 흰색:131",남성의류,티셔츠,반팔티셔츠
TNTS6E203WT,Takisada Japanese Cotton Tee (White),티엔지티,B000,1004,1,[26SS],"봄, 여름",1,1,0,0,0,79000,75050,5,0,0,0,0.0,0,0,3,199,"95:34, 100:75, 105:60, 110:30",895,"블랙:207, 그레이:197, 카키:90, 브라운:202, 흰색:199",남성의류,티셔츠,반팔티셔츠
TNTS6E213N2,Yoyogi Pleats Tee (Navy),요요기 플리츠 바이 티엔지티,B01O,1004,1,[26SS],여름,0,1,0,0,0,79000,75050,5,0,0,0,0.0,0,16,6,205,"095:40, 100:76, 105:61, 110:28",688,"블랙:309, 네이비:205, 브라운:174",남성의류,티셔츠,반팔티셔츠
TNJA5F103W2,Virgin-wool Herringbone Single Jacket (Vintage Brown),티엔지티,B000,1004,2,,가을,0,0,1,0,0,219000,137970,37,0,0,1,4.0,237,0,23,136,"95:26, 100:44, 105:43, 110:23",136,브라운:136,남성의류,자켓,숏/하프자켓
TNTS5E210BK,Boxing Graphic T-Shirt (Black),티엔지티,B000,1004,2,,"봄, 여름",1,1,0,0,0,59000,37170,37,0,0,3,5.0,82,0,7,136,"95:36, 100:57, 105:30, 110:13",268,"블랙:136, 흰색:132",남성의류,티셔츠,반팔티셔츠
TNJU5F203BK,European-goose Office Down Jumper (Black),티엔지티,B000,1004,2,,"가을, 겨울",0,0,1,1,0,299000,188370,37,0,0,45,4.7,1,0,327,31,"95:30, 100:0, 105:0, 110:1",207,"블랙:31, 브라운:176",남성의류,점퍼,다운점퍼
TNJA6E205G2,Kinoshita Seersucker Jacket (Grey),키노시타 바이 티엔지티,B01M,1004,1,[26SS],"봄, 여름",1,1,0,0,0,149000,141550,5,0,0,20,4.8,13,20,1,295,"095:54, 100:108, 105:94, 110:39",1452,"블랙:484, 그레이:295, 베이지:190, 카키:192, 네이비:291",남성의류,자켓,숏/하프자켓
TNPA4F102N2,다크네이비 테이퍼드핏 컴포트 슈트 셋업팬츠,티엔지티,B000,1004,2,[24FW],"가을, 겨울",0,0,1,1,0,79000,33060,58,0,0,26,4.8,151,0,15,12,"078 (30):12, 082 (32):0, 086 (34):0, 090 (36):0",12,네이비:12,남성의류,팬츠,슬랙스
0TJA6E101BK,Classic 3-piece Wool Suit (Black),티엔지티 세트,0T,1004,1,[26SS],봄,1,0,0,0,0,517000,372240,28,0,0,1,5.0,267,0,21,0,,147,블랙:147,남성의류,정장,
TNTS6E100BK,Embroidery Logo Sweatshirt (Black),티엔지티,B000,1004,1,[26SS],"봄, 여름",1,1,0,0,0,79000,56880,28,0,0,0,0.0,52,0,20,171,"085:9, 95:45, 100:63, 105:44, 110:10",354,"블랙:171, 그레이:183",남성의류,티셔츠,긴팔티셔츠
0TJA6E101CG,Classic 3-piece Wool Suit (Charcoal Grey),티엔지티 세트,0T,1004,1,[26SS],봄,1,0,0,0,0,517000,372240,28,0,0,1,5.0,250,0,42,0,,158,차콜 그레이:158,남성의류,정장,
TNVE6E100BK,Classic Wool Suit Vest (Black),티엔지티,B000,1004,1,[26SS],사계절,1,1,1,1,1,129000,104490,19,0,0,0,0.0,92,0,6,19,"095:5, 100:4, 105:8, 110:2",55,"블랙:19, 차콜 그레이:36",남성의류,정장상의,
