product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail
WXPA4F861B3,[클리어런스][스테디셀러] 블루《Waffle Two Tone》릴렉스 핏 데님,알레그리 남성,WX,1897,2,[24FW],390000,140470,63,0,0,4,4.8,61,0,32,1,"078:0, 082:0, 086:0, 090:0, 094:1",1,진한 블루:1
ARSW6A203T3,다크터콰이즈블루《Pleated》가디건,알레그리,A001,1897,1,[26SS],450000,405000,10,0,0,0,0.0,15,0,5,36,"S (95):2, M (100):20, L (105):11, XL (110):3",65,"블랙:29, 진한 청록:36"
ARTS5C202B1,라이트 그레이쉬 블루《LuxWarm》맨투맨,알레그리,A001,1897,1,[25FW],290000,233070,19,0,0,30,5.0,458,0,24,12,"95:4, 100:3, 105:1, 110:4",27,"밝은 블루:12, 블랙:2, 차콜 그레이:3, 그레이:3, 진한 네이비:7"
ARSW5D301G1,라이트그레이《Mild Cashmere 10》 맨투맨 스웨터,알레그리,A001,1897,2,[25FW],390000,245700,37,0,0,1,5.0,268,0,39,3,"S (95):1, M (100):2, L (105):0, XL (110):0",42,"블랙:16, 밝은 그레이:3, 진한 그레이:16, 진한 브라운:7"
ARTS5B201B3,다크 블루《LuxCool》레귤러핏 라운드 티셔츠,알레그리,A001,1897,2,[25SS],160000,100800,37,0,0,538,4.8,2,19,8,31,"90:4, 95:7, 100:12, 105:8, 110:0",207,"밝은 블루:23, 진한 블루:31, 연블루:21, 블랙:5, 진한 초록:13, 밝은 그레이:9, 아이보리:6, 밝은 연두:19, MULTI COLOR:17, 네이비:6, 진한 네이비:2, 밝은 핑크:2, 청록:4, 브라운:25, 진한 브라운:9, 흰색:15"
ARJU5D311BK,블랙《X-Lite》[Siberian Goose] 다운 점퍼,알레그리,A001,1897,2,[25FW],890000,560700,37,0,0,24,4.9,416,0,357,31,"48 (95):23, 50 (100):8, 52 (105):0, 54 (110):0",35,"블랙:31, 진한 네이비:4"
ARTS5B301IV,아이보리《LuxCool》세미오버 라운드 티셔츠,알레그리,A001,1897,2,[25SS],180000,113400,37,0,0,339,4.9,1,0,5,20,"90:2, 95:5, 100:4, 105:5, 110:4",181,"밝은 블루:16, 연블루:35, 블랙:3, 진한 초록:11, 밝은 그레이:6, 아이보리:20, MULTI COLOR:18, 네이비:7, 진한 네이비:6, 밝은 핑크:20, 청록:12, 브라운:26, 흰색:1"
ARSW5C005G3,다크그레이《Cashmere Blended》[Set up]팬츠,알레그리,A001,1897,2,[25FW],550000,346500,37,0,0,4,5.0,131,0,62,4,"078:0, 082:1, 086:0, 090:1, 094:2",7,"진한 그레이:4, 밝은 베이지:3"
ARJU5D312G3,다크그레이《X-Lite》2-WAY 경량 립스탑 다운 점퍼,알레그리,A001,1897,2,[25FW],1090000,686700,37,0,0,5,4.8,147,0,100,29,"48 (95):4, 50 (100):10, 52 (105):8, 54 (110):7",78,"블랙:49, 진한 그레이:29"
ARSW5A101I2,베이지《Prime Wool》카라넥 스웨터,알레그리,A001,1897,2,[25SS],430000,251550,41,0,0,13,4.8,305,0,22,10,"S (95):3, M (100):2, L (105):3, XL (110):2",26,"베이지:10, 밝은 카키:7, 탁한 네이비:2, 진한 청록:7"
ARJU5B301G3,다크 그레이《Garment Dyeing》  카라 블루종 점퍼,알레그리,A001,1897,2,[25SS],790000,472810,40,0,0,3,5.0,151,0,7,3,"48 (95):0, 50 (100):0, 52 (105):1, 54 (110):2",6,"진한 그레이:3, 진한 청록:3"
