product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
WHJU4C303I3,[클리어런스][스테디셀러]베이지 포켓배색 면혼방 캐주얼점퍼,헤지스 남성,WH,1002,2,[24FW],가을,0,0,1,0,0,359000,145390,59,0,0,33,4.6,2,43,79,3,"95:1, 100:0, 105:0, 110:2, 115:0, 120:0",9,"그레이:5, 진한 베이지:3, 진한 네이비:1",남성의류,점퍼,캐쥬얼점퍼
WHPA4D344N2,[클리어런스][스테디셀러] 네이비 단색 면혼방 팬츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,209000,84640,59,0,0,205,4.8,3,38,62,31,"30(78cm):3, 31(80cm):6, 32(82cm):12, 33(84cm):8, 34(86cm):2, 35(88cm):0, 36(92cm):0, 37(94cm):0",111,"그레이:13, 밝은 베이지:23, 베이지:44, 네이비:31",남성의류,팬츠,롱팬츠
HZJU6A206I2,베이지 숏 헌팅 자켓,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,399000,271320,32,0,0,12,4.9,920,35,97,8,"S (95):1, M (100):2, L (105):1, XL (110):2, XXL (115):2",24,"베이지:8, 진한 카키:16",남성의류,점퍼,캐쥬얼점퍼
WHTS4D303N3,[클리어런스][스테디셀러] 네이비 스트라이프 면 긴팔카라티셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,189000,76540,59,0,0,38,4.9,1,19,46,7,"95:0, 100:0, 105:0, 110:1, 115:4, 120:2",19,"그레이:12, 진한 네이비:7",남성의류,티셔츠,긴팔티셔츠
HZPA5B330N2,[STRAIGHT] 네이비 코튼강연 팬츠,헤지스 남성,HZ,1002,2,[25SS],여름,0,1,0,0,0,199000,120000,39,0,0,221,4.8,10,31,57,559,"74 (29):39, 78 (30):102, 80 (31):58, 82 (32):61, 84 (33):96, 86 (34):75, 88 (35):46, 92 (36):26, 94 (37):23, 98 (38):33",1142,"베이지:535, 밝은 카키:48, 네이비:559",남성의류,팬츠,롱팬츠
HZJU5B505I2,[클래식] 베이지 경량 헤링턴 자켓,헤지스 남성,HZ,1002,2,[25SS],여름,0,1,0,0,0,359000,205350,42,0,0,28,4.9,1,32,56,17,"95:0, 100:1, 105:8, 110:8, 115:0",17,"베이지:17, 네이비:0",남성의류,점퍼,캐쥬얼점퍼
WHSH4C403D2,[클리어런스][스테디셀러] 버건디 체크 면 긴팔캐주얼셔츠,헤지스 남성,WH,1002,2,[24FW],가을,0,0,1,0,0,189000,76540,59,0,0,43,4.9,1,14,54,9,"095:0, 100:0, 105:0, 110:5, 115:4, 120:0",12,"와인:9, 네이비:3",남성의류,셔츠,긴팔캐쥬얼셔츠
WHSH4D402I1,[클리어런스][스테디셀러] 베이지 체크 면 긴팔캐주얼셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,189000,76540,59,0,0,157,4.7,5,54,70,77,"095:46, 100:30, 105:0, 110:0, 115:1, 120:0",264,"블루:73, 밝은 베이지:77, 네이비:85, 청록:29",남성의류,셔츠,긴팔캐쥬얼셔츠
WHJA5B404G2,[스테디셀러] 그레이 체크 면혼방 자켓,헤지스 남성,WH,1002,2,[25SS],여름,0,1,0,0,0,439000,276570,37,0,0,5,4.6,400,18,27,118,"095:16, 100:65, 105:34, 110:1, 115:0, 120:2",286,"그레이:118, 네이비:168",남성의류,자켓,숏/하프자켓
HZJU4D325N2,[클리어런스]네이비 몰스킨 워크자켓,헤지스 남성,HZ,1002,2,[24FW],겨울,0,0,0,1,0,459000,185890,59,0,0,72,4.9,841,22,241,15,"95:0, 100:15, 105:0, 110:0",61,"블루:0, 카키:46, 네이비:15",남성의류,점퍼,캐쥬얼점퍼
WHPA4D344I1,[클리어런스][스테디셀러] 베이지 면혼방 팬츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,209000,84640,59,0,0,94,4.8,3,37,66,23,"30(78cm):0, 31(80cm):2, 32(82cm):9, 33(84cm):2, 34(86cm):3, 35(88cm):1, 36(92cm):4, 37(94cm):2",111,"그레이:13, 밝은 베이지:23, 베이지:44, 네이비:31",남성의류,팬츠,롱팬츠
